대여수,대여시간_합,이동거리_합,이동거리_평균,이동거리_최솟값,이동거리_중앙값,이동거리_최댓값
394.0,641469.0,676070.0,1715.9137055837564,10.0,1355.0,5370.0
582.0,781913.0,913260.0,1569.1752577319587,10.0,1210.0,5560.0
650.0,917497.0,1011860.0,1556.7076923076922,10.0,1245.0,5630.0
511.0,784542.0,845070.0,1653.757338551859,10.0,1160.0,5480.0
574.0,1049989.0,1021600.0,1779.7909407665504,10.0,1455.0,5540.0
95.0,140890.0,140190.0,1475.6842105263158,130.0,980.0,5130.0
22.0,27637.0,33080.0,1503.6363636363637,440.0,950.0,4440.0
329.0,426247.0,479340.0,1456.9604863221884,10.0,1100.0,5440.0
565.0,772287.0,860000.0,1522.1238938053098,20.0,1180.0,5410.0
656.0,910611.0,1007450.0,1535.746951219512,10.0,1230.0,5570.0
551.0,860593.0,894320.0,1623.0852994555353,10.0,1330.0,5450.0
466.0,795598.0,856940.0,1838.9270386266094,10.0,1505.0,5580.0
567.0,775464.0,855690.0,1509.1534391534392,10.0,1220.0,5590.0
580.0,824264.0,905430.0,1561.0862068965516,10.0,1280.0,5590.0
578.0,818499.0,868860.0,1503.2179930795849,10.0,1185.0,5490.0
627.0,834013.0,930710.0,1484.3859649122808,10.0,1250.0,5380.0
611.0,864260.0,968410.0,1584.9590834697217,10.0,1190.0,5590.0
577.0,963735.0,995900.0,1725.9965337954939,10.0,1370.0,5610.0
492.0,755563.0,813720.0,1653.9024390243903,10.0,1265.0,5460.0
517.0,780705.0,805230.0,1557.5048355899419,10.0,1240.0,5630.0
639.0,909875.0,999270.0,1563.8028169014085,10.0,1220.0,5450.0
389.0,450823.0,554620.0,1425.758354755784,10.0,1140.0,5000.0
716.0,1172227.0,1216670.0,1699.2597765363128,20.0,1360.0,5620.0
468.0,771406.0,825770.0,1764.465811965812,10.0,1330.0,5540.0
594.0,1130850.0,1134130.0,1909.3097643097642,10.0,1515.0,5610.0
120.0,168343.0,187550.0,1562.9166666666667,10.0,1200.0,5610.0
744.0,1139476.0,1264940.0,1700.1881720430108,10.0,1370.0,5570.0
780.0,1117144.0,1334830.0,1711.320512820513,10.0,1350.0,5540.0
817.0,1185115.0,1277110.0,1563.170134638923,10.0,1230.0,5570.0
705.0,946303.0,1123940.0,1594.241134751773,10.0,1240.0,5630.0
599.0,958948.0,955800.0,1595.659432387312,10.0,1290.0,5560.0
638.0,1074930.0,1206820.0,1891.5673981191223,10.0,1600.0,5630.0
607.0,879287.0,948750.0,1563.0148270181219,10.0,1240.0,5630.0
631.0,931457.0,1044860.0,1655.8795562599048,10.0,1290.0,5560.0
406.0,547056.0,585340.0,1441.7241379310344,10.0,1100.0,5210.0
379.0,510801.0,551330.0,1454.6965699208442,20.0,1160.0,5400.0
492.0,648539.0,741710.0,1507.540650406504,10.0,1175.0,5260.0
496.0,805664.0,904690.0,1823.9717741935483,10.0,1445.0,5620.0
535.0,1069325.0,989340.0,1849.233644859813,10.0,1490.0,5570.0
750.0,1221716.0,1248420.0,1664.56,10.0,1300.0,5620.0
