번호,대여소명,거치대_수,구,주소,위도,경도,구역,인터넷,CCTV,거치대_종류,구조
1,무역전시관입구(택시승강장),14,유성구,도룡동 3-8,36.3746,127.386,1구역,\N,1,평면,일자형
2,대전컨벤션센터,20,유성구,도룡동 4-19,36.3744,127.392,1구역,\N,2,평면,일자형
3,한밭수목원1,19,서구,만년동 396,36.3691,127.388,1구역,\N,2,평면,일자형
4,초원아파트(104동 버스정류장),12,서구,만년동 401,36.3679,127.379,2구역,\N,2,평면,일자형
5,둔산대공원 입구(버스정류장),13,서구,둔산2동 1521-10,36.365,127.389,1구역,\N,2,평면,일자형
6,백합네거리(농협),12,서구,월평2동 266,36.3623,127.376,2구역,\N,\N,평면,일자형
7,정부청사 입구(대덕대로),13,서구,둔산2동 920-2,36.3621,127.38,1구역,\N,\N,평면,일자형
8,정부청사 입구(샘머리),12,서구,둔산2동 1518,36.3619,127.39,1구역,\N,2,평면,일자형
9,황실아파트(성룡초등학교),12,서구,월평2동 304,36.3617,127.374,2구역,\N,2,평면,일자형
10,만년동 KBS 부근(기업은행),12,서구,만년동 300,36.3686,127.38,1구역,\N,\N,평면,일자형
11,누리아파트(후문 버스정류장),12,서구,월평3동 301,36.3589,127.374,2구역,\N,\N,평면,일자형
12,정부청사역 4번출구,13,서구,둔산2동 949-1,36.3579,127.382,1구역,\N,1,평면,일자형
13,삼천중학교(정문 맞은편),12,서구,둔산2동 911,36.3588,127.395,1구역,\N,2,평면,일자형
14,둔산 하이마트,20,서구,둔산2동 962,36.3555,127.379,2구역,\N,\N,평면,일자형
15,둔산 홈플러스(법원 버스정류장),13,서구,둔산1동 1380-5,36.3554,127.39,1구역,\N,2,평면,일자형
16,국화아파트(501동),12,서구,둔산3동 1386,36.3538,127.395,1구역,\N,\N,평면,일자형
17,타임월드,20,서구,둔산2동 1036,36.3521,127.379,2구역,\N,1,평면,일자형
18,대전시청,17,서구,둔산1동 1420,36.3511,127.385,1구역,\N,2,평면,일자형
19,현대아이텔(시청역 6번출구),13,서구,둔산1동 1457,36.3514,127.388,1구역,\N,1,평면,일자형
20,크로바아파트(정문 맞은편),12,서구,둔산1동 1554-1,36.3511,127.392,1구역,\N,2,평면,일자형
21,카이스트 학사식당,28,유성구,어은동 44,36.3736,127.36,2구역,\N,\N,평면,일자형
22,카이스트 창의학습관,28,유성구,구성동 23,36.3702,127.362,2구역,\N,\N,평면,일자형
23,카이스트 정문,14,유성구,구성동 284-4,36.3662,127.364,2구역,\N,\N,평면,일자형
24,화폐박물관,12,유성구,가정동 35,36.3768,127.371,2구역,\N,\N,평면,일자형
25,카이스트 후문,13,유성구,구성동 145,36.3745,127.367,2구역,\N,\N,평면,일자형
26,엑스포과학공원 주차장,13,유성구,가정동 39-2,36.3769,127.379,2구역,\N,\N,평면,일자형
27,엑스포과학공원,13,유성구,도룡동 3-1,36.3771,127.379,2구역,\N,\N,평면,일자형
28,스마트시티(201동),14,유성구,도룡동 4-32,36.3779,127.391,1구역,\N,\N,평면,일자형
29,만년동주민센터,16,서구,만년동 13,36.3675,127.375,2구역,\N,\N,평면,일자형
30,선사유적지공용주차장,12,서구,월평2동 2243,36.362,127.379,2구역,\N,2,평면,일자형
31,유성구청,20,유성구,어은동 59-12,36.3618,127.357,2구역,\N,2,평면,일자형
32,홈플러스(유성점),20,유성구,봉명동 669,36.3593,127.354,2구역,\N,\N,평면,일자형
33,월평역 2번출구(육교밑),20,서구,월평동 428,36.3585,127.361,2구역,\N,2,평면,일자형
34,진달래아파트(107동),13,서구,월평동 604,36.3582,127.366,2구역,\N,\N,평면,일자형
35,갈마역 2번출구,13,서구,둔산동 1515-2,36.3576,127.372,2구역,\N,2,평면,일자형
36,가람아파트(3동),13,서구,둔산동 2156,36.3575,127.397,1구역,\N,\N,평면,일자형
37,수정타운아파트(13동),13,서구,둔산동 1515,36.3579,127.398,1구역,\N,2,평면,일자형
38,갑천역 1번출구,13,서구,월평동 1534,36.3546,127.355,2구역,\N,\N,평면,일자형
39,패션월드,13,서구,월평1동 1498,36.3512,127.352,2구역,\N,\N,평면,일자형
40,월평타운,13,서구,월평동 1543,36.3528,127.356,2구역,\N,\N,평면,일자형
41,대전일보,13,서구,월평동 41-3,36.3537,127.362,2구역,\N,\N,평면,일자형
42,갈마네거리,12,서구,갈마동 292-20,36.3534,127.368,2구역,\N,\N,평면,일자형
43,둔산여고,13,서구,둔산동 1526,36.3533,127.374,2구역,\N,1,평면,일자형
44,을지대학병원,13,서구,둔산동 1542,36.3545,127.383,1구역,\N,2,평면,일자형
45,청솔아파트(9동),13,서구,둔산동 2161,36.3514,127.398,1구역,\N,1,평면,일자형
46,경성큰마을,13,서구,갈마동 1438,36.3476,127.377,1구역,\N,\N,평면,일자형
47,오페라웨딩홀,12,서구,둔산동 1257,36.3485,127.383,1구역,\N,\N,평면,일자형
48,대전종합고용지원센터(탄방역 4번출구),12,서구,탄방동 1453-1,36.3465,127.385,1구역,\N,2,평면,일자형
49,한국농어촌공사,12,서구,탄방동 735,36.3472,127.39,1구역,\N,\N,평면,일자형
50,한가람아파트,12,서구,탄방동 1447,36.3468,127.393,1구역,\N,\N,평면,일자형
51,남선공원종합체육관,10,서구,탄방동 1458,36.3487,127.399,1구역,\N,\N,평면,일자형
52,유승기업사,12,서구,탄방동 521-2,36.3435,127.381,1구역,\N,\N,평면,일자형
53,탄방지하차도,12,서구,탄방동 1452,36.3434,127.383,1구역,\N,\N,평면,일자형
54,궁동네거리,13,유성구,장대동 312-3,36.365,127.339,2구역,\N,\N,평면,일자형
55,충대정문오거리1(정문),20,유성구,궁동 258-8,36.3624,127.344,2구역,\N,1,평면,일자형
56,충대정문오거리2(건너편),18,유성구,궁동 376-1 ,36.3617,127.345,2구역,\N,2,평면,일자형
57,한진오피스텔,13,유성구,봉명동 535-5,36.3579,127.343,3구역,\N,\N,평면,일자형
58,구암역 3번출구,13,유성구,구암동 96-9,36.3564,127.331,3구역,\N,\N,평면,십일자
59,유성온천역 6번출구,10,유성구,봉명동 552-5,36.3543,127.341,3구역,\N,\N,평면,일자형
60,유성온천역 3번출구,13,유성구,봉명동 326-95,36.3533,127.341,3구역,\N,1,평면,일자형
61,만년교(코젤병원),16,유성구,봉명동 328-22,36.3521,127.346,3구역,\N,\N,평면,일자형
