YMDH,PM10,PM2.5,O3,NO2,CO,SO2
2020-07-06:24,25,5,0.046,0.005,0.3,0.002
2020-07-06:23,30,13,0.05,0.005,0.3,0.002
2020-07-06:22,18,12,0.051,0.005,0.4,0.002
2020-07-06:21,8,6,0.049,0.006,0.4,0.002
2020-07-06:20,14,,0.042,0.008,0.4,0.002
2020-07-06:19,15,,0.049,0.008,0.3,0.002
2020-07-06:18,17,,0.049,0.008,0.3,0.002
2020-07-06:17,17,16,0.051,0.008,0.4,0.002
2020-07-06:16,19,16,0.061,0.004,0.3,0.002
2020-07-06:15,13,10,0.064,0.004,0.3,0.002
2020-07-06:14,21,10,0.067,0.004,0.3,0.002
2020-07-06:13,14,8,0.064,0.005,0.3,0.002
2020-07-06:12,17,7,0.052,0.005,0.3,0.002
2020-07-06:11,17,6,0.042,0.004,0.3,0.002
2020-07-06:10,12,2,0.03,0.006,0.3,0.002
2020-07-06:09,8,3,0.022,0.007,0.3,0.002
2020-07-06:08,8,5,0.011,0.012,0.3,0.002
2020-07-06:07,9,,0.011,0.01,0.3,0.002
2020-07-06:06,7,,0.008,0.011,0.3,0.002
2020-07-06:05,5,,0.008,0.012,0.3,0.002
2020-07-06:04,5,,0.014,0.008,0.3,0.002
2020-07-06:03,6,,0.017,0.007,0.3,0.002
2020-07-06:02,8,4,0.019,0.009,0.3,0.002
2020-07-06:01,6,5,0.014,0.014,0.3,0.002
