일자,노선,시간,정류장,승차승객,하차승객,환승
2021년 06월 19일,711번(신탄진~대전역),5:00,금강엑슬루타워,1,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,신탄진시장,1,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,신탄진동행정복지센터,1,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,새여울아파트,2,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,신탄진고등학교,1,2,0
2021년 06월 19일,711번(신탄진~대전역),5:00,석봉초등학교,1,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,선바위,2,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,신대주공아파트,1,1,0
2021년 06월 19일,711번(신탄진~대전역),5:00,와동초등학교,1,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,읍내동현대아파트,1,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,영진아파트,1,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,법동주공3단지,6,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,대흥동우체국,1,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,삼성초등학교,1,0,1
2021년 06월 19일,711번(신탄진~대전역),5:00,한밭자이아파트,1,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,한남대학교,2,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,대전신학대학교,1,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,한숲아파트,1,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,동대전고등학교,1,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,중리동주민센터,1,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,중리근린공원,3,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,삼정하이츠타운,3,0,0
2021년 06월 19일,711번(신탄진~대전역),5:00,읍내동현대아파트,0,1,0
2021년 06월 19일,711번(신탄진~대전역),6:00,금강엑슬루타워정문,2,0,0
