역번호,역명,1월 승차,1월 하차,2월 승차,2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차
1101,판암,87780,79156,87565,77467,107780,96539,103133,92681,103473,92716
1102,신흥,36850,32932,35169,31175,42813,38717,40405,36836,40218,36482
1103,대동,85414,76590,80623,72030,111367,99084,99606,90263,103230,92037
1104,대전,195580,192265,201271,200097,257136,249530,244580,243421,260989,252109
1105,중앙로,107961,117605,114053,124374,130453,145486,118001,129530,130372,145295
1106,중구청,44321,46393,41206,43038,54329,56864,52058,54754,50363,53574
1107,서대전네거리,124872,130630,120089,125156,147869,154017,139943,146969,138604,145812
1108,오룡,87335,81382,81881,76149,101233,92577,97633,89357,94257,87303
1109,용문,123879,124844,119589,121112,147914,148784,143171,143278,142045,142241
1110,탄방,101074,108158,93019,100804,112444,122617,108766,117410,106595,115796
1111,시청,161858,166260,154030,158525,176640,186177,166701,172227,163721,170228
1112,정부청사,128728,140759,123488,134664,148753,162577,145144,154536,138722,150932
1113,갈마,60998,60104,59994,59547,72786,72040,70148,68522,70310,69424
1114,월평,70643,70540,69008,68001,85431,84648,80709,80411,80695,80353
1115,갑천,20778,19898,19740,18976,23662,22834,23919,22974,23538,22535
1116,유성온천,173023,178888,168998,175252,211765,218487,199518,205425,201731,207862
1117,구암,49130,47453,47503,46580,62202,61058,60732,59437,58061,57946
1118,현충원,34624,28254,35808,28629,47118,39572,47048,39548,50284,41962
1119,월드컵경기장,54857,49598,52762,46898,65731,58802,63280,56947,61921,55583
1120,노은,83630,88657,81036,85500,96430,101645,91316,96938,92426,97747
1121,지족,43033,41138,41539,39359,56098,53898,50987,48760,51740,49761
1122,반석,153266,142114,149550,138191,181972,168026,173272,162312,171659,160469
