연번,Station 스테이션/성명,위치,Latitude,Longitude,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,행정동코드,행정동명,거치대
1,무역전시관입구(택시승강장),대전광역시 유성구 도룡동 3-8,36.3747083,127.3890266,30,대전광역시,30200,유성구,3020012700,도룡동,3020055000,신성동,14
2,대전컨벤션센터,대전광역시 유성구 도룡동 4-19,36.3749012,127.3916831,30,대전광역시,30200,유성구,3020012700,도룡동,3020055000,신성동,20
3,한밭수목원1,대전광역시 서구 만년동 396,36.3674851,127.3880222,30,대전광역시,30170,서구,3017012800,만년동,3017065000,만년동,19
4,초원아파트(104동 버스정류장),대전광역시 서구 만년동 401,36.3679468,127.3795192,30,대전광역시,30170,서구,3017012800,만년동,3017065000,만년동,12
5,둔산대공원 입구(버스정류장),대전광역시 서구 둔산2동 1521-10,36.3645051,127.3889771,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동,13
6,백합네거리(농협),대전광역시 서구 월평2동 266,36.3616171,127.3756483,30,대전광역시,30170,서구,3017011300,월평동,3017058700,월평2동,12
7,정부청사 입구(대덕대로),대전광역시 서구 둔산2동 920-2,36.3621316,127.3797927,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동,13
8,정부청사 입구(샘머리),대전광역시 서구 둔산2동 1518,36.3612664,127.3902838,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동,12
9,(운영중지)황실아파트(성룡초등학교),대전광역시 서구 월평2동 304,36.3619316,127.3735855,30,대전광역시,30170,서구,3017011300,월평동,3017058800,월평3동,12
10,만년동 KBS 부근(기업은행),대전광역시 서구 만년동 300,36.3701661,127.3811643,30,대전광역시,30170,서구,3017012800,만년동,3017065000,만년동,12
11,누리아파트(후문 버스정류장),대전광역시 서구 월평3동 301,36.3588693,127.3713615,30,대전광역시,30170,서구,3017011300,월평동,3017058800,월평3동,12
12,정부청사역 4번출구,대전광역시 서구 둔산2동 949-1,36.3583025,127.3817429,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동,13
13,삼천중학교(정문 맞은편),대전광역시 서구 둔산2동 911,36.3584888,127.3941852,30,대전광역시,30170,서구,3017011200,둔산동,3017063000,둔산1동,12
14,둔산 하이마트,대전광역시 서구 둔산2동 962,36.3555198,127.3790396,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동,20
15,둔산 홈플러스(법원 버스정류장),대전광역시 서구 둔산1동 1380-5,36.3562785,127.3900208,30,대전광역시,30170,서구,3017011200,둔산동,3017063000,둔산1동,13
16,국화아파트(501동),대전광역시 서구 둔산3동 1386,36.3534118,127.3999901,30,대전광역시,30170,서구,3017011200,둔산동,3017063000,둔산1동,12
17,타임월드,대전광역시 서구 둔산2동 1036,36.352308,127.3785493,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동,20
18,대전시청,대전광역시 서구 둔산1동 1420,36.3503816,127.3847379,30,대전광역시,30170,서구,3017011200,둔산동,3017063000,둔산1동,17
19,현대아이텔(시청역 6번출구),대전광역시 서구 둔산1동 1457,36.3515604,127.3887852,30,대전광역시,30170,서구,3017011200,둔산동,3017063000,둔산1동,13
20,크로바아파트(정문 맞은편),대전광역시 서구 둔산1동 1554-1,36.351248,127.3920276,30,대전광역시,30170,서구,3017011200,둔산동,3017063000,둔산1동,12
21,카이스트 학사식당,대전광역시 유성구 어은동 44,36.3737625,127.3590307,30,대전광역시,30200,유성구,3020012300,어은동,3020054000,온천2동,28
22,카이스트 창의학습관,대전광역시 유성구 구성동 23,36.36935,127.3644226,30,대전광역시,30200,유성구,3020012400,구성동,3020054000,온천2동,28
23,카이스트 정문,대전광역시 유성구 구성동 284-4,36.3655538,127.3642106,30,대전광역시,30200,유성구,3020012400,구성동,3020054000,온천2동,14
24,화폐박물관,대전광역시 유성구 가정동 35,36.3777468,127.3698633,30,대전광역시,30200,유성구,3020012600,가정동,3020055000,신성동,12
